university,sj,jh,major,description,start_date,end_date
홍익대학교,수시,공연예술우수자 전형,실용음악전공,합격자 발표,2020-11-27T00:00:00,2020-11-27T00:00:00
홍익대학교,수시,농어촌학생,디자인학부/금속조형디자인과/도예·유리과/목조형가구학과/섬유미술·패션디자인과,합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,농어촌학생,동양화과/회화과/판화과/조소과,합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,농어촌학생,영상·애니메이션학부/게임학부 게임그래픽디자인전공(미술계)(세종),합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,농어촌학생,디자인컨버전스학부(세종),합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,미술우수자 전형,미술대학자율전공/조소과,합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,미술우수자 전형,동양화과/회화과/판화과,합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,미술우수자 전형,디자인학부,합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,미술우수자 전형,금속조형디자인과/도예·유리과/목조형가구학과/섬유미술·패션디자인과,합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,미술우수자 전형,디자인컨버전스학부(세종),합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,미술우수자 전형,영상·애니메이션학부(세종),합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,미술우수자 전형,게임학부 게임그래픽디자인전공(미술계)(세종),합격자 발표,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,교과우수자,전 학과,합격통지서 교부,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,학교생활우수자,전 학과,합격통지서 교부,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,고른기회,전 학과,합격통지서 교부,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,국가보훈대상자,전 학과,합격통지서 교부,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,농어촌학생,일반학과,합격통지서 교부,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,농어촌학생,디자인학부/금속조형디자인과/도예·유리과/목조형가구학과/섬유미술·패션디자인과,합격통지서 교부,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,농어촌학생,동양화과/회화과/판화과/조소과,합격통지서 교부,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,농어촌학생,영상·애니메이션학부/게임학부 게임그래픽디자인전공(미술계)(세종),합격통지서 교부,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,농어촌학생,디자인컨버전스학부(세종),합격통지서 교부,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,특성화고등을 졸업한재직자(정원내·외),전 학과,합격통지서 교부,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,논술,"자연계열/캠퍼스자율전공(자연,예능)",합격통지서 교부,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,논술,"인문계열/예술학과/캠퍼스자율전공(인문,예능)",합격통지서 교부,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,체육특기자 전형,산업스포츠학과(세종),합격통지서 교부,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,미술우수자 전형,미술대학자율전공/조소과,합격통지서 교부,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,미술우수자 전형,동양화과/회화과/판화과,합격통지서 교부,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,미술우수자 전형,디자인학부,합격통지서 교부,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,미술우수자 전형,금속조형디자인과/도예·유리과/목조형가구학과/섬유미술·패션디자인과,합격통지서 교부,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,미술우수자 전형,디자인컨버전스학부(세종),합격통지서 교부,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,미술우수자 전형,영상·애니메이션학부(세종),합격통지서 교부,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,미술우수자 전형,게임학부 게임그래픽디자인전공(미술계)(세종),합격통지서 교부,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,공연예술우수자 전형,뮤지컬전공,합격통지서 교부,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,공연예술우수자 전형,실용음악전공,합격통지서 교부,2020-12-27T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,교과우수자,전 학과,합격자 등록확인예치금 납부,2020-12-28T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,학교생활우수자,전 학과,합격자 등록확인예치금 납부,2020-12-28T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,고른기회,전 학과,합격자 등록확인예치금 납부,2020-12-28T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,국가보훈대상자,전 학과,합격자 등록확인예치금 납부,2020-12-28T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,농어촌학생,일반학과,합격자 등록확인예치금 납부,2020-12-28T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,농어촌학생,디자인학부/금속조형디자인과/도예·유리과/목조형가구학과/섬유미술·패션디자인과,합격자 등록확인예치금 납부,2020-12-28T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,농어촌학생,동양화과/회화과/판화과/조소과,합격자 등록확인예치금 납부,2020-12-28T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,농어촌학생,영상·애니메이션학부/게임학부 게임그래픽디자인전공(미술계)(세종),합격자 등록확인예치금 납부,2020-12-28T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,농어촌학생,디자인컨버전스학부(세종),합격자 등록확인예치금 납부,2020-12-28T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,특성화고등을 졸업한재직자(정원내·외),전 학과,합격자 등록확인예치금 납부,2020-12-28T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,논술,"자연계열/캠퍼스자율전공(자연,예능)",합격자 등록확인예치금 납부,2020-12-28T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,논술,"인문계열/예술학과/캠퍼스자율전공(인문,예능)",합격자 등록확인예치금 납부,2020-12-28T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,체육특기자 전형,산업스포츠학과(세종),합격자 등록확인예치금 납부,2020-12-28T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,미술우수자 전형,미술대학자율전공/조소과,합격자 등록확인예치금 납부,2020-12-28T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,미술우수자 전형,동양화과/회화과/판화과,합격자 등록확인예치금 납부,2020-12-28T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,미술우수자 전형,디자인학부,합격자 등록확인예치금 납부,2020-12-28T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,미술우수자 전형,금속조형디자인과/도예·유리과/목조형가구학과/섬유미술·패션디자인과,합격자 등록확인예치금 납부,2020-12-28T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,미술우수자 전형,디자인컨버전스학부(세종),합격자 등록확인예치금 납부,2020-12-28T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,미술우수자 전형,영상·애니메이션학부(세종),합격자 등록확인예치금 납부,2020-12-28T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,미술우수자 전형,게임학부 게임그래픽디자인전공(미술계)(세종),합격자 등록확인예치금 납부,2020-12-28T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,공연예술우수자 전형,뮤지컬전공,합격자 등록확인예치금 납부,2020-12-28T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,공연예술우수자 전형,실용음악전공,합격자 등록확인예치금 납부,2020-12-28T00:00:00,2020-12-27T00:00:00
홍익대학교,수시,교과우수자,전 학과,추가합격자 발표,2020-12-30T00:00:00,2021-01-04T00:00:00
홍익대학교,수시,학교생활우수자,전 학과,추가합격자 발표,2020-12-30T00:00:00,2021-01-04T00:00:00
