university,sj,jh,major,description,start_date,end_date
광주교육대학교,수시,국가보훈대상자,전 학과,최초합격자 등록/예치금 납부,2020-12-28T00:00:00,2020-12-30T00:00:00
광주교육대학교,수시,국가보훈대상자,전 학과,1차 추가 합격자 발표,2020-12-31T11:00:00,2020-12-31T11:00:00
광주교육대학교,수시,국가보훈대상자,전 학과,추가합격 통보 마감,2021-01-04T20:00:00,2021-01-04T20:00:00
광주교육대학교,수시,국가보훈대상자,전 학과,추가합격 등록 마감,2021-01-05T16:00:00,2021-01-05T16:00:00
광주교육대학교,수시,국가보훈대상자,전 학과,등록금 차액 납부,2021-02-08T09:00:00,2021-02-10T16:00:00
광주교육대학교,수시,다문화가정,전 학과,입학원서 및 자기소개서 접수,2020-09-24T09:00:00,2020-09-28T17:00:00
광주교육대학교,수시,다문화가정,전 학과,서류제출(해당자에 한함),2020-09-24T09:00:00,2020-09-29T18:00:00
광주교육대학교,수시,다문화가정,전 학과,1단계 합격자 발표,2020-11-25T14:00:00,2020-11-25T14:00:00
광주교육대학교,수시,다문화가정,전 학과,면접고사,2020-12-13T00:00:00,2020-12-13T00:00:00
광주교육대학교,수시,다문화가정,전 학과,최초합격자 발표,2020-12-23T16:00:00,2020-12-23T16:00:00
광주교육대학교,수시,다문화가정,전 학과,최초합격자 등록/예치금 납부,2020-12-28T00:00:00,2020-12-30T00:00:00
광주교육대학교,수시,다문화가정,전 학과,1차 추가 합격자 발표,2020-12-31T11:00:00,2020-12-31T11:00:00
광주교육대학교,수시,다문화가정,전 학과,추가합격 통보 마감,2021-01-04T20:00:00,2021-01-04T20:00:00
광주교육대학교,수시,다문화가정,전 학과,추가합격 등록 마감,2021-01-05T16:00:00,2021-01-05T16:00:00
광주교육대학교,수시,다문화가정,전 학과,등록금 차액 납부,2021-02-08T09:00:00,2021-02-10T16:00:00
광주교육대학교,수시,장애인대상자,전 학과,입학원서 및 자기소개서 접수,2020-09-24T09:00:00,2020-09-28T17:00:00
광주교육대학교,수시,장애인대상자,전 학과,서류제출(해당자에 한함),2020-09-24T09:00:00,2020-09-29T18:00:00
광주교육대학교,수시,장애인대상자,전 학과,1단계 합격자 발표,2020-11-25T14:00:00,2020-11-25T14:00:00
광주교육대학교,수시,장애인대상자,전 학과,면접고사,2020-12-13T00:00:00,2020-12-13T00:00:00
광주교육대학교,수시,장애인대상자,전 학과,최초합격자 발표,2020-12-23T16:00:00,2020-12-23T16:00:00
광주교육대학교,수시,장애인대상자,전 학과,최초합격자 등록/예치금 납부,2020-12-28T00:00:00,2020-12-30T00:00:00
광주교육대학교,수시,장애인대상자,전 학과,1차 추가 합격자 발표,2020-12-31T11:00:00,2020-12-31T11:00:00
광주교육대학교,수시,장애인대상자,전 학과,추가합격 통보 마감,2021-01-04T20:00:00,2021-01-04T20:00:00
광주교육대학교,수시,장애인대상자,전 학과,추가합격 등록 마감,2021-01-05T16:00:00,2021-01-05T16:00:00
광주교육대학교,수시,장애인대상자,전 학과,등록금 차액 납부,2021-02-08T09:00:00,2021-02-10T16:00:00
광주교육대학교,수시,농·어촌학생,전 학과,입학원서 및 자기소개서 접수,2020-09-24T09:00:00,2020-09-28T17:00:00
광주교육대학교,수시,농·어촌학생,전 학과,서류제출(해당자에 한함),2020-09-24T09:00:00,2020-09-29T18:00:00
광주교육대학교,수시,농·어촌학생,전 학과,1단계 합격자 발표,2020-11-25T14:00:00,2020-11-25T14:00:00
광주교육대학교,수시,농·어촌학생,전 학과,면접고사,2020-12-13T00:00:00,2020-12-13T00:00:00
광주교육대학교,수시,농·어촌학생,전 학과,최초합격자 발표,2020-12-23T16:00:00,2020-12-23T16:00:00
광주교육대학교,수시,농·어촌학생,전 학과,최초합격자 등록/예치금 납부,2020-12-28T00:00:00,2020-12-30T00:00:00
광주교육대학교,수시,농·어촌학생,전 학과,1차 추가 합격자 발표,2020-12-31T11:00:00,2020-12-31T11:00:00
광주교육대학교,수시,농·어촌학생,전 학과,추가합격 통보 마감,2021-01-04T20:00:00,2021-01-04T20:00:00
광주교육대학교,수시,농·어촌학생,전 학과,추가합격 등록 마감,2021-01-05T16:00:00,2021-01-05T16:00:00
광주교육대학교,수시,농·어촌학생,전 학과,등록금 차액 납부,2021-02-08T09:00:00,2021-02-10T16:00:00
광주교육대학교,수시,기초생활수급자 및 차상위계층,전 학과,입학원서 및 자기소개서 접수,2020-09-24T09:00:00,2020-09-28T17:00:00
광주교육대학교,수시,기초생활수급자 및 차상위계층,전 학과,서류제출(해당자에 한함),2020-09-24T09:00:00,2020-09-29T18:00:00
광주교육대학교,수시,기초생활수급자 및 차상위계층,전 학과,1단계 합격자 발표,2020-11-25T14:00:00,2020-11-25T14:00:00
광주교육대학교,수시,기초생활수급자 및 차상위계층,전 학과,면접고사,2020-12-13T00:00:00,2020-12-13T00:00:00
광주교육대학교,수시,기초생활수급자 및 차상위계층,전 학과,최초합격자 발표,2020-12-23T16:00:00,2020-12-23T16:00:00
광주교육대학교,수시,기초생활수급자 및 차상위계층,전 학과,최초합격자 등록/예치금 납부,2020-12-28T00:00:00,2020-12-30T00:00:00
광주교육대학교,수시,기초생활수급자 및 차상위계층,전 학과,1차 추가 합격자 발표,2020-12-31T11:00:00,2020-12-31T11:00:00
광주교육대학교,수시,기초생활수급자 및 차상위계층,전 학과,추가합격 통보 마감,2021-01-04T20:00:00,2021-01-04T20:00:00
광주교육대학교,수시,기초생활수급자 및 차상위계층,전 학과,추가합격 등록 마감,2021-01-05T16:00:00,2021-01-05T16:00:00
광주교육대학교,수시,기초생활수급자 및 차상위계층,전 학과,등록금 차액 납부,2021-02-08T09:00:00,2021-02-10T16:00:00
