university,sj,jh,major,description,start_date,end_date
건국대학교,수시,KU체육특기자전형,전 학과,원서접수,2020-09-24T10:00:00,2020-09-28T17:00:00
건국대학교,수시,KU자기추천전형,"자연계(건축,KU융합과기원,수의예과)",자기소개서 입력,2020-09-24T10:00:00,2020-09-29T17:00:00
건국대학교,수시,KU자기추천전형,"자연계(이과대학,공과대학,상허생명과학대학,수학교육과)",자기소개서 입력,2020-09-24T10:00:00,2020-09-29T17:00:00
건국대학교,수시,KU자기추천전형,인문계,자기소개서 입력,2020-09-24T10:00:00,2020-09-29T17:00:00
건국대학교,수시,사회통합전형,전 학과,자기소개서 입력,2020-09-24T10:00:00,2020-09-29T17:00:00
건국대학교,수시,특성화고교졸업자전형,전 학과,자기소개서 입력,2020-09-24T10:00:00,2020-09-29T17:00:00
건국대학교,수시,특수교육대상자전형,전 학과,자기소개서 입력,2020-09-24T10:00:00,2020-09-29T17:00:00
건국대학교,수시,KU논술우수자전형,인문사회계,자기소개서 입력,2020-09-24T10:00:00,2020-09-29T17:00:00
건국대학교,수시,KU논술우수자전형,자연계,자기소개서 입력,2020-09-24T10:00:00,2020-09-29T17:00:00
건국대학교,수시,KU연기우수자전형,전 학과,자기소개서 입력,2020-09-24T10:00:00,2020-09-29T17:00:00
건국대학교,수시,KU체육특기자전형,전 학과,자기소개서 입력,2020-09-24T10:00:00,2020-09-29T17:00:00
건국대학교,수시,KU자기추천전형,"자연계(건축,KU융합과기원,수의예과)",서류 제출,2020-09-24T10:00:00,2020-09-29T17:00:00
건국대학교,수시,KU자기추천전형,"자연계(이과대학,공과대학,상허생명과학대학,수학교육과)",서류 제출,2020-09-24T10:00:00,2020-09-29T17:00:00
건국대학교,수시,KU자기추천전형,인문계,서류 제출,2020-09-24T10:00:00,2020-09-29T17:00:00
건국대학교,수시,사회통합전형,전 학과,서류 제출,2020-09-24T10:00:00,2020-09-29T17:00:00
건국대학교,수시,특성화고교졸업자전형,전 학과,서류 제출,2020-09-24T10:00:00,2020-09-29T17:00:00
